Response_ID,DOB,Gender,Industry,Occupation,Employees_No,Employees_No_Order,Are_You_Manager,Household,Household_Order,Experience,Experience_Order,Area,Last_Year_Actual_Work_Time_Remotely,Last_Year_Has_AgreedTo_Org_Encouraged_Remote_Work,Last_Year_Has_AgreedTo_Org_Encouraged_Remote_Work_Order,Last_Year_Has_AgreedTo_Org_Prepared_Remote_Work,Last_Year_Has_AgreedTo_Org_Prepared_Remote_Work_Order,Last_Year_Has_AgreedTo_Employees_UsedTo_Remote_Work,Last_Year_Has_AgreedTo_Employees_UsedTo_Remote_Work_Order,Last_Year_Has_AgreedTo_Get_Easy_Permission_Remote_Work,Last_Year_Has_AgreedTo_Get_Easy_Permission_Remote_Work_Order,Last_Year_Has_AgreedTo_Colleagues_Easyily_Collaborated_Remote_Work,Last_Year_Has_AgreedTo_Colleagues_Easyily_Collaborated_Remote_Work_Order,Last_Year_Has_AgreedTo_Would_Recommend_Remote_Work,Last_Year_Has_AgreedTo_Would_Recommend_Remote_Work_Order,Last_Year_Preferred_Work_Time_Remotely,Last_3Months_Actual_Work_Time_Remotely,Last_3Months_Has_AgreedTo_Org_Encouraged_Remote_Work,Last_3Months_Has_AgreedTo_Org_Encouraged_Remote_Work_Order,Last_3Months_Has_AgreedTo_Org_Prepared_Remote_Work,Last_3Months_Has_AgreedTo_Org_Prepared_Remote_Work_Order,Last_3Months_Has_AgreedTo_Employees_UsedTo_Remote_Work,Last_3Months_Has_AgreedTo_Employees_UsedTo_Remote_Work_Order,Last_3Months_Has_AgreedTo_Get_Easy_Permission_Remote_Work,Last_3Months_Has_AgreedTo_Get_Easy_Permission_Remote_Work_Order,Last_3Months_Has_AgreedTo_Colleagues_Easyily_Collaborated_Remote_Work,Last_3Months_Has_AgreedTo_Colleagues_Easyily_Collaborated_Remote_Work_Order,Last_3Months_Has_AgreedTo_Would_Recommend_Remote_Work,Last_3Months_Has_AgreedTo_Would_Recommend_Remote_Work_Order,Last_3Months_Preferred_Work_Time_Remotely,Always_Preferred_Work_Time_Remotely,Would_Employer_Encourage_Remote_Work,Would_Employer_Encourage_Remote_Work_Order,Would_Employer_Support_Remote_Work,Would_Employer_Support_Remote_Work_Order,Would_Choose_Remote_Work,Would_Choose_Remote_Work_Order,Your_Productivity_Comparison,PrepareForWorkAndCommuting_At_Workplace_Hours,Work_At_Workplace_Hours,PersonalAndFamilyTime_At_Workplace_Hours,CaringAndResponsibilities_At_Workplace_Hours,PrepareForWorkAndCommuting_At_Remote_Work_Hours,Work_At_Remote_Work_Hours,PersonalAndFamilyTime_At_Remote_Work_Hours,CaringAndResponsibilities_At_Remote_Work_Hours,Biggest_Barriers,Smallest_Barriers,Best_Aspects,Worst_Aspects
1,1972,Female,Manufacturing,"Clerical and administrative  - Other Clerical and Administrative ",Between 20 and 199,4,No,Couple with no dependent children,2,More than 5 years,3,Regional," 0% - Rarely or never",NA,6,NA,6,NA,6,NA,6,NA,6,NA,6," 0% - I would not have preferred to work remotely"," 90%",Strongly agree,5,Somewhat agree,4,Somewhat agree,4,Strongly agree,5,Somewhat agree,4,Strongly agree,5," 80%"," 90%",Somewhat disagree,2,Somewhat disagree,2,Strongly disagree,1,More Productive By 50 %,2,8,2,2,0.5,8,3.5,2,Lack of motivation,"My living situation (e.g. location, home size, who I live with)",Managing my personal commitments,The number of hours  I work
2,1972,Male,Wholesale Trade,"Managers - Chief Executives, General Managers and Legislators",Between 1 and 4,2,Yes,Couple with dependent children,4,More than 5 years,3,Metro," 20%",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4," 20%"," 20%",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4," 20%"," 20%",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Less Productive By 20 %,2,7,3,3,0,7,3,3,"IT equipment (computer, printer, etc.)",Feeling left out and/or isolated,My work-life balance,My on-the-job learning opportunities
3,1982,Male,"Electricity, Gas, Water and Waste Services","Managers - Chief Executives, General Managers and Legislators",More than 200,5,Yes,One  parent family with dependent children,3,More than 5 years,3,Metro," 60%",Somewhat agree,4,Somewhat agree,4,Neither agree nor disagree,3,Somewhat agree,4,Neither agree nor disagree,3,Neither agree nor disagree,3," 50% - About half of my time"," 50% - I spent about half of my time remote working",Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4,Neither agree nor disagree,3,Somewhat agree,4,Neither agree nor disagree,3," 60%"," 60%",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Less Productive By 10 %,6,1,6,5,5,2,7,7,Poor management,Lack of motivation,The number of hours  I work,Preparing for work and commuting
4,1987,Female,"Professional, Scientific and Technical Services",Professionals - ICT Professionals,Between 20 and 199,4,No,Couple with dependent children,4,Between 1 and 5 years,2,Metro," 20%",Strongly disagree,1,Somewhat agree,4,Somewhat disagree,2,Somewhat disagree,2,Somewhat agree,4,Somewhat agree,4," 50% - About half of my time",100% - I spent all of my time remote working,Strongly agree,5,Somewhat disagree,2,Somewhat agree,4,Strongly agree,5,Strongly agree,5,Strongly agree,5,100% - All of my time,100% - All of my time,Somewhat agree,4,Strongly agree,5,Somewhat agree,4,Level Of The Productivity Is The Same,1,9,1,2,0,9,3,2,Lack of motivation,Lack of remote working skills,My work-life balance,My on-the-job learning opportunities
5,1991,Male,"Transport, Postal and Warehousing",Managers - Specialist Managers,Between 5 and 19,3,Yes,Couple with no dependent children,2,More than 5 years,3,Metro," 1% - 9% - Less than 10% of my time",Strongly disagree,1,Somewhat agree,4,Somewhat disagree,2,Strongly disagree,1,Strongly agree,5,Somewhat agree,4," 60%"," 90%",Somewhat disagree,2,Somewhat agree,4,Strongly agree,5,Somewhat disagree,2,Somewhat agree,4,Strongly agree,5,100% - All of my time," 60%",Strongly disagree,1,Strongly disagree,1,Strongly disagree,1,More Productive By 20 %,1,8,13,2,0,6,15,3,Poor management,Lack of motivation,Preparing for work and commuting,My on-the-job learning opportunities
6,1989,Male,Retail Trade,"Sales  - Sales Support ",Between 20 and 199,4,No,Single person,1,Between 1 and 5 years,2,Metro," 1% - 9% - Less than 10% of my time",Somewhat agree,4,Strongly agree,5,Somewhat agree,4,Strongly agree,5,Strongly agree,5,Strongly agree,5," 40%"," 70%",Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5," 50% - About half of my time"," 50% - About half of my time",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Level Of The Productivity Is The Same,1,8,2,2,0,7,3,3,Difficulty collaborating remotely,"My living situation (e.g. location, home size, who I live with)",Preparing for work and commuting,My on-the-job learning opportunities
7,1973,Male,Financial and Insurance Services,"Clerical and administrative  - General Clerical ",More than 200,5,No,Couple with dependent children,4,More than 5 years,3,Metro," 0% - Rarely or never",NA,6,NA,6,NA,6,NA,6,NA,6,NA,6," 70%",100% - I spent all of my time remote working,Strongly agree,5,Somewhat agree,4,Strongly agree,5,Strongly disagree,1,Strongly agree,5,Strongly agree,5,100% - All of my time," 90%",Somewhat agree,4,Strongly agree,5,Strongly agree,5,More Productive By 50 %,2,8,4,1,0,8,5,3,Management discourages remote working,"IT equipment (computer, printer, etc.)",My daily expenses,The number of hours  I work
8,1992,Male,Manufacturing,"Managers - Chief Executives, General Managers and Legislators",Between 5 and 19,3,Yes,Couple with dependent children,4,Between 6 and 12 months,1,Metro," 80%",Strongly agree,5,Strongly agree,5,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4," 90%"," 90%",Strongly agree,5,Strongly agree,5,Somewhat agree,4,Somewhat agree,4,Strongly agree,5,Somewhat agree,4," 80%"," 80%",Somewhat agree,4,Somewhat agree,4,Strongly agree,5,Less Productive By 30 %,1,8,4,3,0.4,6,4,6,Caring responsibilities,Connectivity (internet connection),My job satisfaction,The number of hours  I work
9,1977,Male,Administrative and Support Services,"Clerical and administrative  - General Clerical ",More than 200,5,No,Single person,1,More than 5 years,3,Metro," 60%",Strongly agree,5,Somewhat agree,4,Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4," 60%"," 60%",Strongly agree,5,Somewhat agree,4,Strongly agree,5,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4," 70%"," 20%",Neither agree nor disagree,3,Neither agree nor disagree,3,Somewhat disagree,2,More Productive By 30 %,0,8,12,4,0,8,13,1,Poor management,Feeling left out and/or isolated,My mental wellbeing,The number of hours  I work
10,1985,Male,"Electricity, Gas, Water and Waste Services",Managers - Specialist Managers,More than 200,5,No,Group household,7,More than 5 years,3,Metro," 20%",Somewhat disagree,2,Somewhat agree,4,Somewhat disagree,2,Neither agree nor disagree,3,Somewhat agree,4,Neither agree nor disagree,3," 20%"," 40%",Strongly agree,5,Somewhat agree,4,Strongly agree,5,Strongly agree,5,Neither agree nor disagree,3,Neither agree nor disagree,3," 0% - I would not have preferred to work remotely"," 0% - I would prefer not to work remotely",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Less Productive By 20 %,3,8.5,4,2,1,8.5,6,2,Lack of motivation,Poor management,Preparing for work and commuting,My working relationships
11,1980,Female,Administrative and Support Services,"Clerical and administrative  - General Clerical ",More than 200,5,No,Single person,1,Between 6 and 12 months,1,Metro," 0% - Rarely or never",NA,6,NA,6,NA,6,NA,6,NA,6,NA,6," 70%",100% - I spent all of my time remote working,Strongly agree,5,Strongly agree,5,Neither agree nor disagree,3,Strongly agree,5,Strongly agree,5,Strongly agree,5,100% - All of my time," 70%",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Level Of The Productivity Is The Same,3,8,3,2,0.5,8,5,2,Connectivity (internet connection),Caring responsibilities,Preparing for work and commuting,My on-the-job learning opportunities
12,1989,Male,Financial and Insurance Services,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,5,No,Couple with no dependent children,2,More than 5 years,3,Metro," 0% - Rarely or never",NA,6,NA,6,NA,6,NA,6,NA,6,NA,6," 40%",100% - I spent all of my time remote working,Strongly agree,5,Somewhat agree,4,Strongly agree,5,Strongly agree,5,Somewhat agree,4,Somewhat agree,4,100% - All of my time," 50% - About half of my time",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,More Productive By 10 %,2,10,3,2,0.5,12,4,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Caring responsibilities,My personal relationships,Preparing for work and commuting
13,1994,Female,Financial and Insurance Services,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,5,No,Single person,1,Between 6 and 12 months,1,Metro,100% - I spent all of my time remote working,Somewhat agree,4,Somewhat agree,4,Strongly agree,5,Strongly agree,5,Somewhat agree,4,Somewhat agree,4," 50% - About half of my time",100% - I spent all of my time remote working,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5," 50% - About half of my time"," 50% - About half of my time",Somewhat agree,4,Somewhat agree,4,Strongly agree,5,Less Productive By 10 %,2,8,1,1,0,9,2,1,Connectivity (internet connection),"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",My daily expenses,My working relationships
14,1970,Female,"Professional, Scientific and Technical Services",Managers - Specialist Managers,Between 20 and 199,4,Yes,Couple with no dependent children,2,Between 1 and 5 years,2,Metro," 40%",Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4," 50% - About half of my time"," 80%",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4," 80%"," 80%",Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4,More Productive By 50 %,1,12,4,1,0,13,5,1,Management discourages remote working,Connectivity (internet connection),My work-life balance,My opportunities to socialise
15,1962,Female,Construction,Clerical and administrative  - Personal Assistants and Secretaries,Between 5 and 19,3,No,Couple with dependent children,4,More than 5 years,3,Metro," 40%",Neither agree nor disagree,3,Somewhat agree,4,Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4," 50% - About half of my time"," 50% - I spent about half of my time remote working",Somewhat agree,4,Strongly agree,5,Neither agree nor disagree,3,Strongly agree,5,Somewhat agree,4,Somewhat agree,4," 50% - About half of my time"," 50% - About half of my time",Strongly agree,5,Somewhat agree,4,Strongly agree,5,Level Of The Productivity Is The Same,1,5,3,2,0.5,5,4,2,Feeling left out and/or isolated,Caring responsibilities,My work-life balance,My working relationships
16,1959,Male,Health Care and Social Assistance,Professionals - ICT Professionals,More than 200,5,Yes,Couple with no dependent children,2,Between 1 and 5 years,2,Metro," 0% - Rarely or never",NA,6,NA,6,NA,6,NA,6,NA,6,NA,6," 50% - About half of my time",100% - I spent all of my time remote working,Strongly agree,5,Somewhat agree,4,Strongly agree,5,Strongly agree,5,Somewhat agree,4,Strongly agree,5," 80%"," 80%",Somewhat agree,4,Somewhat agree,4,Strongly agree,5,Level Of The Productivity Is The Same,2.5,8,4,1.5,0.5,9,6,2,Connectivity (internet connection),"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Preparing for work and commuting,The number of hours  I work
17,1971,Female,"Transport, Postal and Warehousing","Clerical and administrative  - Clerical and Office Support ",Between 1 and 4,2,No,Couple with no dependent children,2,More than 5 years,3,Metro," 0% - Rarely or never",NA,6,NA,6,NA,6,NA,6,NA,6,NA,6," 50% - About half of my time"," 80%",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,100% - All of my time," 50% - About half of my time",Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,More Productive By 50 %,0.5,8,2,2,0.25,9,2,2,Cyber security,Caring responsibilities,My daily expenses,My mental wellbeing
