Response_ID,DOB,Gender,Experience,Experience_Order,Industry,Occupation,Employees_No,Employees_No_Order,Household,Household_Order,Area,Q4_Actual_Work_Time_Remotely,Q4_Preferred_Work_Time_Remotely,This_Year_Actual_Work_Time_Remotely,This_Year_Preferred_Work_Time_Remotely,Always_Preferred_Work_Time_Remotely,Has_Remote_Work_Policy_Changed,Past_6Months_Has_Worked_Hybrid_Daily,Actual_Work_Hybrid_Daily,Preferred_Work_Hybrid_Daily,Has_Employer_Workplace_Time_Policy,Employer_Workplace_Policy_Time,Has_AgreedTo_Like_Employer_Remote_Work_Policy,Has_AgreedTo_Like_Employer_Remote_Work_Policy_Order,Has_AgreedTo_Choose_Remote_Work_Hours,Has_AgreedTo_Choose_Remote_Work_Hours_Order,Has_AgreedTo_Choose_Remote_Work_Days,Has_AgreedTo_Choose_Remote_Work_Days_Order,Has_AgreedTo_Manager_Direct_Remote_Work,Has_AgreedTo_Manager_Direct_Remote_Work_Order,Last_6Months_Has_AgreedTo_Org_Encouraged_Remote_Work,Last_6Months_Has_AgreedTo_Org_Encouraged_Remote_Work_Order,Last_6Months_Has_AgreedTo_Org_Prepared_Remote_Work,Last_6Months_Has_AgreedTo_Org_Prepared_Remote_Work_Order,Last_6Months_Has_AgreedTo_Employees_UsedTo_Remote_Work,Last_6Months_Has_AgreedTo_Employees_UsedTo_Remote_Work_Order,Last_6Months_Has_AgreedTo_Get_Easy_Permission_Remote_Work,Last_6Months_Has_AgreedTo_Get_Easy_Permission_Remote_Work_Order,Last_6Months_Has_AgreedTo_Colleagues_Easyily_Collaborated_Remote_Work,Last_6Months_Has_AgreedTo_Colleagues_Easyily_Collaborated_Remote_Work_Order,Last_6Months_Has_AgreedTo_Remote_Work_Reduces_Promotion_Chances,Last_6Months_Has_AgreedTo_Remote_Work_Reduces_Promotion_Chances_Order,Last_6Months_Has_AgreedTo_More_Breaks_Remote_Work,Last_6Months_Has_AgreedTo_More_Breaks_Remote_Work_Order,Has_Remote_work_Affect_Employer,Has_Remote_work_Affect_Employer_Order,Employer_Remote_Work_Policy_Feeling,Employer_Remote_Work_Policy_Feeling_Order,Remote_Work_Most_Supportive,Would_Employer_Encourage_Remote_Work,Would_Employer_Encourage_Remote_Work_Order,Would_Employer_Support_Remote_Work,Would_Employer_Support_Remote_Work_Order,Would_Choose_Remote_Work,Would_Choose_Remote_Work_Order,This_Year_PrepareForWorkAndCommuting_At_Workplace_Hours,This_Year_Work_At_Workplace_Hours,This_Year_CaringAndResponsibilities_At_Workplace_Hours,This_Year_PersonalAndFamilyTime_At_Workplace_Hours,This_Year_Sleep_At_Workplace_Hours,This_Year_PrepareForWorkAndCommuting_At_Remote_Work_Hours,This_Year_Work_At_Remote_Work_Hours,This_Year_CaringAndResponsibilities_At_Remote_Work_Hours,This_Year_PersonalAndFamilyTime_At_Remote_Work_Hours,This_Year_Sleep_At_Remote_Work_Hours,Has_Negotiate_PayCut_To_Work_Remotely,Biggest_PayCut_Percentage,Past_6Months_Remote_Work_Barriers_State_Caring_Responsibilities,Past_6Months_Remote_Work_Barriers_State_Caring_Responsibilities_Order,Past_6Months_Remote_Work_Barriers_State_Connectivity,Past_6Months_Remote_Work_Barriers_State_Connectivity_Order,Past_6Months_Remote_Work_Barriers_State_Org_Software_System,Past_6Months_Remote_Work_Barriers_State_Org_Software_System_Order,Past_6Months_Remote_Work_Barriers_State_Collaporation,Past_6Months_Remote_Work_Barriers_State_Collaporation_Order,Past_6Months_Remote_Work_Barriers_State_Poor_Mnagement,Past_6Months_Remote_Work_Barriers_State_Poor_Mnagement_Order,Past_6Months_Remote_Work_Barriers_State_IT_Equipment,Past_6Months_Remote_Work_Barriers_State_IT_Equipment_Order,Past_6Months_Remote_Work_Barriers_State_Feeling_Isolated,Past_6Months_Remote_Work_Barriers_State_Feeling_Isolated_Order,Past_6Months_Remote_Work_Barriers_State_Extra_Costs,Past_6Months_Remote_Work_Barriers_State_Extra_Costs_Order,Past_6Months_Remote_Work_Barriers_State_Cyper_Security,Past_6Months_Remote_Work_Barriers_State_Cyper_Security_Order,Past_6Months_Remote_Work_Barriers_State_Workplace_Only_Tasks,Past_6Months_Remote_Work_Barriers_State_Workplace_Only_Tasks_Order,Past_6Months_Remote_Work_Barriers_State_Workspace,Past_6Months_Remote_Work_Barriers_State_Workspace_Order,Past_6Months_Remote_Work_Barriers_State_Motivation,Past_6Months_Remote_Work_Barriers_State_Motivation_Order,Past_6Months_Remote_Work_Barriers_State_Management_Remote_Work_Discouragement,Past_6Months_Remote_Work_Barriers_State_Management_Remote_Work_Discouragement_Order,Past_6Months_Remote_Work_Barriers_State_Living_Situation,Past_6Months_Remote_Work_Barriers_State_Living_Situation_Order,Past_6Months_Remote_Work_Barriers_State_Remote_Work_Skills_Lack,Past_6Months_Remote_Work_Barriers_State_Remote_Work_Skills_Lack_Order,Past_6Months_Remote_Work_Barriers_State_Health_And_Safety,Past_6Months_Remote_Work_Barriers_State_Health_And_Safety_Order,Has_AgreedTo_Feel_Better_Working_Remotely,Has_AgreedTo_Feel_Better_Working_Remotely_Order,Has_AgreedTo_More_Active_Working_Remotely,Has_AgreedTo_More_Active_Working_Remotely_Order,Has_AgreedTo_Feel_Better_Working_OnSite,Has_AgreedTo_Feel_Better_Working_OnSite_Order,Are_You_Manager,Have_Your_Employees_Work_Remotely,Has_AgreedTo_Control_Employees_Working_Remotely,Has_AgreedTo_Control_Employees_Working_Remotely_Order,Has_AgreedTo_Retain_Employees_Working_Remotely,Has_AgreedTo_Retain_Employees_Working_Remotely_Order,Has_AgreedTo_Recruit_Employees_Working_Remotely,Has_AgreedTo_Recruit_Employees_Working_Remotely_Order,Has_AgreedTo_TeamWork_Working_Remotely_Well,Has_AgreedTo_TeamWork_Working_Remotely_Well_Order,Has_AgreedTo_Manage_Employees_Easily_Working_Remotely,Has_AgreedTo_Manage_Employees_Easily_Working_Remotely_Order,Has_AgreedTo_Manage_Poor_Performers_Easily_Working_Remotely,Has_AgreedTo_Manage_Poor_Performers_Easily_Working_Remotely_Order,Has_AgreedTo_Feel_Well_PreparedTo_Manage_Employees_Easily_Working_Remotely,Has_AgreedTo_Feel_Well_PreparedTo_Manage_Employees_Easily_Working_Remotely_Order,Has_AgreedTo_Manage_Employees_Working_Remotely_FocusOnResults,Has_AgreedTo_Manage_Employees_Working_Remotely_FocusOnResults_Order,Has_AgreedTo_Contact_Employees_Easily_Working_Remotely,Has_AgreedTo_Contact_Employees_Easily_Working_Remotely_Order,Your_Productivity_Comparison,Employees_Productivity_Comparison,Biggest_Barriers,Smallest_Barriers
1,1976,Male,More than 5 years,3,Other Services,Professionals - ICT Professionals,More than 200,5,Couple with dependent children,4,Metro," 50% - I spent about half of my time remote working"," 80%"," 50% - I spent about half of my time remote working"," 80%"," 80%",Yes,Yes," 50% - About half of my time"," 80%",Yes," 40%",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Strongly agree,5,Somewhat agree,4,Somewhat agree,4,Somewhat disagree,2,Somewhat disagree,2,Strongly Positive,5,Somewhat Positive,4,They are about the same,Somewhat likely,4,Somewhat likely,4,Somewhat likely,4,2,6,1,7,8,0,8,1,7,8,No,0.19,Somewhat improved,4,Somewhat improved,4,Stayed about the same,3,Somewhat improved,4,Somewhat improved,4,Somewhat improved,4,Somewhat improved,4,Somewhat improved,4,Stayed about the same,3,Somewhat improved,4,Stayed about the same,3,Stayed about the same,3,Stayed about the same,3,Stayed about the same,3,Somewhat improved,4,Somewhat improved,4,Strongly agree,5,Somewhat agree,4,Neither agree nor disagree,3,No,Unsure,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,More Productive By 50 %,Employee Productivity Hasn't Been Submitted,Noisy work environment,Connectivity/internet issues
17,1972,Female,Between 1 and 5 years,2,Retail Trade,"Managers - Hospitality, Retail and Service Managers",More than 200,5,One parent family with dependent children,3,Regional," 30%"," 10%"," 20%"," 20%"," 20%",No,Yes," 20%"," 20%",Yes," 30%",Neither agree nor disagree,3,Neither agree nor disagree,3,Somewhat agree,4,Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat Positive,4,Somewhat Positive,4,My direct manger(s),Neither unlikely or likely,3,Neither unlikely or likely,3,Neither unlikely or likely,3,5,5,5,5,4,5,5,5,5,4,No,0.19,Stayed about the same,3,Stayed about the same,3,Stayed about the same,3,Stayed about the same,3,Stayed about the same,3,Stayed about the same,3,Stayed about the same,3,Stayed about the same,3,Stayed about the same,3,Stayed about the same,3,Stayed about the same,3,Stayed about the same,3,Stayed about the same,3,Stayed about the same,3,Stayed about the same,3,Stayed about the same,3,Neither agree nor disagree,3,Neither agree nor disagree,3,Somewhat agree,4,No,Unsure,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,More Productive By 50 %,Employee Productivity Hasn't Been Submitted,Noisy work environment,Lack of appropriate work and meeting spaces
26,1959,Male,Between 1 and 5 years,2,Wholesale Trade,Managers - Specialist Managers,I am a sole trader/owner-operator,1,Couple with dependent children,4,Metro,100% - I spent all of my time remote working,100% - All of my time,100% - I spent all of my time remote working,100% - All of my time,100% - All of my time,No,No," 0%"," 0%",No," 0%",Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4,Neither agree nor disagree,3,Somewhat agree,4,Neither agree nor disagree,3,Somewhat agree,4,Strongly Positive,5,Strongly Positive,5,They are about the same,Somewhat likely,4,Somewhat likely,4,Very likely,5,1,4,0,11,8,1,4,0,11,8,No,0.19,Not a barrier for me,6,Not a barrier for me,6,Not a barrier for me,6,Not a barrier for me,6,Stayed about the same,3,Stayed about the same,3,Stayed about the same,3,Stayed about the same,3,Stayed about the same,3,Stayed about the same,3,Stayed about the same,3,Somewhat worsened,2,Stayed about the same,3,Stayed about the same,3,Stayed about the same,3,Stayed about the same,3,Strongly agree,5,Strongly agree,5,Somewhat agree,4,No,Unsure,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,Level Of The Productivity Is The Same,Employee Productivity Hasn't Been Submitted,Noisy work environment,Connectivity/internet issues
51,1971,Male,Between 1 and 5 years,2,Retail Trade,"Managers - Chief Executives, General Managers and Legislators",More than 200,5,Couple with dependent children,4,Metro," 50% - I spent about half of my time remote working"," 50% - About half of my time"," 40%"," 30%"," 50% - About half of my time",Yes,Yes," 40%"," 50% - About half of my time",Yes," 50% - About half of my time",Somewhat agree,4,Somewhat disagree,2,Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4,Neither agree nor disagree,3,Somewhat agree,4,Neither agree nor disagree,3,Somewhat disagree,2,Neither positive nor negative,3,Somewhat Positive,4,They are about the same,Somewhat likely,4,Neither unlikely or likely,3,Neither unlikely or likely,3,2,10,2,3,7,1,12,2,4,5,No,0.19,Stayed about the same,3,Stayed about the same,3,Somewhat worsened,2,Stayed about the same,3,Somewhat worsened,2,Somewhat improved,4,Stayed about the same,3,Somewhat improved,4,Somewhat improved,4,Stayed about the same,3,Stayed about the same,3,Somewhat improved,4,Somewhat worsened,2,Somewhat improved,4,Stayed about the same,3,Stayed about the same,3,Neither agree nor disagree,3,Somewhat agree,4,Somewhat disagree,2,Yes,Yes,Neither agree nor disagree,3,Somewhat disagree,2,Somewhat agree,4,Somewhat agree,4,Neither agree nor disagree,3,Somewhat agree,4,Neither agree nor disagree,3,Neither agree nor disagree,3,Somewhat agree,4,More Productive By 50 %,More Productive By 50 %,Noisy work environment,Interruptions
31,1975,Female,Between 1 and 5 years,2,Other Services,Technicians and trades workers - Skilled Animal and Horticultural Workers,Between 1 and 4,2,One parent family with dependent children,3,Regional," 30%"," 50% - About half of my time"," 10%"," 50% - About half of my time"," 50% - About half of my time",No,Yes," 30%"," 50% - About half of my time",Unsure," 0%",Neither agree nor disagree,3,Neither agree nor disagree,3,Somewhat disagree,2,Neither agree nor disagree,3,Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Strongly disagree,1,Neither agree nor disagree,3,Strongly Positive,5,Strongly Positive,5,My direct manger(s),Neither unlikely or likely,3,Neither unlikely or likely,3,Neither unlikely or likely,3,1,6,4,6,7,1,7,4.5,4.5,7,No,0.19,Stayed about the same,3,Not a barrier for me,6,Not a barrier for me,6,Not a barrier for me,6,Not a barrier for me,6,Not a barrier for me,6,Not a barrier for me,6,Not a barrier for me,6,Not a barrier for me,6,Stayed about the same,3,Stayed about the same,3,Somewhat worsened,2,Not a barrier for me,6,Stayed about the same,3,Not a barrier for me,6,Stayed about the same,3,Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,No,Unsure,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,Level Of The Productivity Is The Same,Employee Productivity Hasn't Been Submitted,Difficulty innovating,Difficulty collaborating with remote colleagues
33,1983,Female,Between 6 and 12 months,1,Construction,Professionals - Education Professionals,Between 5 and 19,3,Couple with dependent children,4,Metro," 20%"," 40%"," 30%"," 20%"," 30%",No,Yes," 50% - About half of my time"," 50% - About half of my time",Yes," 30%",Neither agree nor disagree,3,Somewhat agree,4,Strongly agree,5,Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4,Neither agree nor disagree,3,Somewhat agree,4,Somewhat Positive,4,Neither positive nor negative,3,Senior leadership,Neither unlikely or likely,3,Neither unlikely or likely,3,Neither unlikely or likely,3,2,8,4,2,8,2,8,3,3,8,Yes,0.2,Significantly worsened,1,Somewhat worsened,2,Somewhat worsened,2,Somewhat worsened,2,Stayed about the same,3,Stayed about the same,3,Stayed about the same,3,Stayed about the same,3,Significantly worsened,1,Stayed about the same,3,Stayed about the same,3,Somewhat worsened,2,Significantly worsened,1,Somewhat worsened,2,Somewhat worsened,2,Significantly worsened,1,Strongly agree,5,Somewhat agree,4,Somewhat agree,4,Yes,Yes,Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4,Strongly agree,5,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,More Productive By 10 %,More Productive By 10 %,NA,NA
46,1974,Female,Between 1 and 5 years,2,Wholesale Trade,Clerical and administrative workers - Office Managers and Program Administrators,Between 20 and 199,4,Couple with dependent children,4,Metro," 50% - I spent about half of my time remote working"," 50% - About half of my time"," 50% - I spent about half of my time remote working"," 50% - About half of my time"," 50% - About half of my time",No,No," 0%"," 0%",Yes," 50% - About half of my time",Somewhat agree,4,Somewhat disagree,2,Somewhat agree,4,Somewhat agree,4,Neither agree nor disagree,3,Somewhat disagree,2,Somewhat disagree,2,Neither agree nor disagree,3,Somewhat agree,4,Somewhat disagree,2,Strongly agree,5,Somewhat Positive,4,Neither positive nor negative,3,They are about the same,Neither unlikely or likely,3,Neither unlikely or likely,3,Neither unlikely or likely,3,2,10,2,2,8,0.5,10,2,4,7.5,No,0.19,Stayed about the same,3,Stayed about the same,3,Stayed about the same,3,Stayed about the same,3,Somewhat improved,4,Stayed about the same,3,Stayed about the same,3,Somewhat improved,4,Stayed about the same,3,Stayed about the same,3,Stayed about the same,3,Stayed about the same,3,Stayed about the same,3,Stayed about the same,3,Stayed about the same,3,Stayed about the same,3,Somewhat agree,4,Somewhat agree,4,Strongly agree,5,No,Unsure,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,Level Of The Productivity Is The Same,Employee Productivity Hasn't Been Submitted,Problems with audio-visual setup,Interruptions
59,1987,Male,Between 6 and 12 months,1,Retail Trade,Technicians and trades workers - Electrotechnology and Telecommunications Trades Workers,Between 5 and 19,3,Multiple family household,6,Metro," 40%"," 40%"," 30%"," 60%"," 40%",Yes,Yes," 70%"," 30%",Yes," 30%",Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Neither agree nor disagree,3,Somewhat agree,4,Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4,Somewhat disagree,2,Somewhat disagree,2,Somewhat Negative,2,Somewhat Positive,4,My direct manger(s),Somewhat likely,4,Neither unlikely or likely,3,Somewhat unlikely,2,2,8,4,4,6,1,9,4,4,6,No,0.19,Significantly improved,5,Significantly worsened,1,Stayed about the same,3,Somewhat worsened,2,Significantly worsened,1,Stayed about the same,3,Somewhat worsened,2,Significantly worsened,1,Somewhat worsened,2,Significantly worsened,1,Somewhat improved,4,Stayed about the same,3,Significantly worsened,1,Somewhat worsened,2,Significantly worsened,1,Somewhat worsened,2,Somewhat disagree,2,Neither agree nor disagree,3,Somewhat agree,4,No,Unsure,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,More Productive By 20 %,Employee Productivity Hasn't Been Submitted,NA,NA
63,1961,Female,More than 5 years,3,Retail Trade,"Managers - Hospitality, Retail and Service Managers",I am a sole trader/owner-operator,1,Couple with no dependent children,2,Regional,100% - I spent all of my time remote working,100% - All of my time,100% - I spent all of my time remote working,100% - All of my time,100% - All of my time,No,Yes,100% - All of my time,100% - All of my time,Yes,100% - All of my time,Strongly agree,5,Strongly agree,5,Strongly agree,5,Neither agree nor disagree,3,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly disagree,1,Neither agree nor disagree,3,Strongly Positive,5,Strongly Positive,5,They are about the same,Very likely,5,Very likely,5,Very likely,5,0,3,4,6,11,0,4,3,6,11,Yes,0.01,Not a barrier for me,6,Not a barrier for me,6,Not a barrier for me,6,Not a barrier for me,6,Not a barrier for me,6,Not a barrier for me,6,Not a barrier for me,6,Not a barrier for me,6,Not a barrier for me,6,Not a barrier for me,6,Not a barrier for me,6,Not a barrier for me,6,Not a barrier for me,6,Not a barrier for me,6,Not a barrier for me,6,Not a barrier for me,6,Strongly agree,5,Strongly agree,5,Neither agree nor disagree,3,No,Unsure,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,Level Of The Productivity Is The Same,Employee Productivity Hasn't Been Submitted,NA,NA
82,1970,Female,Between 6 and 12 months,1,"Rental, Hiring and Real Estate",Managers - Specialist Managers,Between 20 and 199,4,Group household,7,Metro," 40%",100% - All of my time," 80%",100% - All of my time,100% - All of my time,No,No," 0%"," 0%",Unsure," 0%",Somewhat agree,4,Strongly agree,5,Somewhat agree,4,Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,Somewhat disagree,2,Neither agree nor disagree,3,Somewhat agree,4,Somewhat disagree,2,Somewhat agree,4,Strongly Positive,5,Somewhat Negative,2,They are about the same,Neither unlikely or likely,3,Neither unlikely or likely,3,Neither unlikely or likely,3,6,9,2,2,5,0,12,2,2,8,No,0.19,Somewhat improved,4,Somewhat improved,4,Somewhat worsened,2,Stayed about the same,3,Stayed about the same,3,Somewhat improved,4,Stayed about the same,3,Somewhat improved,4,Stayed about the same,3,Somewhat improved,4,Stayed about the same,3,Somewhat improved,4,Somewhat worsened,2,Stayed about the same,3,Stayed about the same,3,Stayed about the same,3,Strongly agree,5,Strongly agree,5,Strongly disagree,1,Yes,Yes,Neither agree nor disagree,3,Strongly agree,5,Somewhat agree,4,Strongly agree,5,Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Strongly agree,5,More Productive By 50 %,More Productive By 50 %,NA,NA
