ResponseID,MaxBiggestBarrier,Biggest_Barriers,MaxSmallestBarrier,Smallest_Barriers
1,2,Lack of motivation,3,"My living situation (e.g. location, home size, who I live with)"
2,3,"IT equipment (computer, printer, etc.)",4,Feeling left out and/or isolated
3,3,Poor management,3,Lack of motivation
4,3,Lack of motivation,3,Lack of remote working skills
5,4,Poor management,3,Lack of motivation
6,3,Difficulty collaborating remotely,4,"My living situation (e.g. location, home size, who I live with)"
7,3,Management discourages remote working,3,"IT equipment (computer, printer, etc.)"
8,3,Caring responsibilities,3,Connectivity (internet connection)
9,4,Poor management,3,Feeling left out and/or isolated
10,3,Lack of motivation,4,Poor management
11,4,Connectivity (internet connection),4,Caring responsibilities
12,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",4,Caring responsibilities
13,4,Connectivity (internet connection),3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
14,3,Management discourages remote working,4,Connectivity (internet connection)
15,4,Feeling left out and/or isolated,4,Caring responsibilities
16,3,Connectivity (internet connection),3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
17,3,Cyber security,4,Caring responsibilities
18,4,Feeling left out and/or isolated,4,Lack of motivation
19,2,Poor management,3,Cyber security
20,4,Poor management,4,"My living situation (e.g. location, home size, who I live with)"
21,4,Feeling left out and/or isolated,4,"My living situation (e.g. location, home size, who I live with)"
22,3,Difficulty collaborating remotely,2,My organisation's software and systems
23,3,Difficulty collaborating remotely,4,"IT equipment (computer, printer, etc.)"
24,4,"IT equipment (computer, printer, etc.)",4,Caring responsibilities
25,3,Difficulty collaborating remotely,3,Lack of motivation
26,3,Difficulty collaborating remotely,4,Connectivity (internet connection)
27,3,Difficulty collaborating remotely,4,Caring responsibilities
28,4,Lack of motivation,2,Poor management
29,5,Difficulty collaborating remotely,3,"IT equipment (computer, printer, etc.)"
30,4,Poor management,3,"IT equipment (computer, printer, etc.)"
31,3,Lack of motivation,3,My organisation's software and systems
32,4,Feeling left out and/or isolated,2,My organisation's software and systems
33,3,"My living situation (e.g. location, home size, who I live with)",4,Connectivity (internet connection)
34,4,Connectivity (internet connection),3,I have tasks that can't be done remotely
