OriginalColumnName,ModifiedColumnName,AnswerType,Position
Response ID,Response_ID,Not Answer,All
What year were you born?,DOB,Fact,All
What is your gender?,Gender,Fact,All
Which of the following best describes your industry?,Industry,Fact,All
Which of the following best describes your industry? (Detailed),Industry_Detailed,Fact,All
Which of the following best describes your current occupation?,Occupation,Fact,All
Which of the following best describes your current occupation? (Detailed),Occupation_Detailed,Fact,All
How many people are currently employed by your organisation?,Employees_No,Fact,All
Do you manage people as part of your current occupation?,Are_You_Manager,Actual,All
Which of the following best describes your household?,Household,Fact,All
How long have you been in your current job?,Experience,Fact,All
Metro / Regional,Area,Fact,All
"Thinking about your current job, how much of your time did you spend remote working last year?",Last_Year_Actual_Work_Time_Remotely,Actual,Employee
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Last_Year_Has_AgreedTo_Org_Encouraged_Remote_Work ,Opinion,Employee
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation was well prepared for me to work remotely",Last_Year_Has_AgreedTo_Org_Prepared_Remote_Work,Opinion,Employee
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - It was common for people in my organisation to work remotely",Last_Year_Has_AgreedTo_Employees_UsedTo_Remote_Work,Opinion,Employee
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - It was easy to get permission to work remotely",Last_Year_Has_AgreedTo_Get_Easy_Permission_Remote_Work,Opinion,Employee
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - I could easily collaborate with colleagues when working remotely",Last_Year_Has_AgreedTo_Colleagues_Easyily_Collaborated_Remote_Work,Opinion,Employee
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - I would recommend remote working to others",Last_Year_Has_AgreedTo_Would_Recommend_Remote_Work,Opinion,Employee
How much of your time would you have preferred to work remotely last year?,Last_Year_Preferred_Work_Time_Remotely,Preferral,Employee
"Thinking about your current job, how much of your time did you spend remote working in the last 3 months?",Last_3Months_Actual_Work_Time_Remotely,Actual,Employee
"Thinking about remote working in the last 3 months, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Last_3Months_Has_AgreedTo_Org_Encouraged_Remote_Work ,Opinion,Employee
"Thinking about remote working in the last 3 months, how strongly do you agree or disagree with the following statements? - My organisation was well prepared for me to work remotely",Last_3Months_Has_AgreedTo_Org_Prepared_Remote_Work,Opinion,Employee
"Thinking about remote working in the last 3 months, how strongly do you agree or disagree with the following statements? - It was common for people in my organisation to work remotely",Last_3Months_Has_AgreedTo_Employees_UsedTo_Remote_Work,Opinion,Employee
"Thinking about remote working in the last 3 months, how strongly do you agree or disagree with the following statements? - It was easy to get permission to work remotely",Last_3Months_Has_AgreedTo_Get_Easy_Permission_Remote_Work,Opinion,Employee
"Thinking about remote working in the last 3 months, how strongly do you agree or disagree with the following statements? - I could easily collaborate with colleagues when working remotely",Last_3Months_Has_AgreedTo_Colleagues_Easyily_Collaborated_Remote_Work,Opinion,Employee
"Thinking about remote working in the last 3 months, how strongly do you agree or disagree with the following statements? - I would recommend remote working to others",Last_3Months_Has_AgreedTo_Would_Recommend_Remote_Work,Opinion,Employee
How much of your time would you have preferred to work remotely in the last 3 months?,Last_3Months_Preferred_Work_Time_Remotely,Preferral,Employee
"Imagine that COVID-19 is cured or eradicated. Going forward, how much of your time would you prefer to work remotely?",Always_Preferred_Work_Time_Remotely,Preferral,Employee
Imagine that COVID-19 is cured or eradicated.  How likely would you consider the following statements? - My employer would encourage more remote working,Would_Employer_Encourage_Remote_Work,Expectation,Employee
Imagine that COVID-19 is cured or eradicated.  How likely would you consider the following statements? - My employer would make changes to support remote working,Would_Employer_Support_Remote_Work,Expectation,Employee
Imagine that COVID-19 is cured or eradicated.  How likely would you consider the following statements? - I would have more choice about whether I work remotely,Would_Choose_Remote_Work,Expectation,Employee
"This question is about your productivity. Productivity means what you produce for each hour that you work. It includes the amount of work you achieve each hour, and the quality of your work each hour.  
Please compare your productivity when you work remotely to when you work at your employer’s workplace.  
Roughly how productive are you, each hour, when you work remotely?",Your_Productivity_Comparison,Actual,Employee
"On a day when you attend your employer's workplace, how many hours would you spend doing the following activities? - Preparing for work and commuting",PrepareForWorkAndCommuting_At_Workplace_Hours,Opinion,Employee
"On a day when you attend your employer's workplace, how many hours would you spend doing the following activities? - Working",Work_At_Workplace_Hours,Opinion,Employee
"On a day when you attend your employer's workplace, how many hours would you spend doing the following activities? - Personal and family time",PersonalAndFamilyTime_At_Workplace_Hours,Opinion,Employee
"On a day when you attend your employer's workplace, how many hours would you spend doing the following activities? - Caring and domestic responsibilities",CaringAndResponsibilities_At_Workplace_Hours,Opinion,Employee
"On a day when you do remote work, how many hours would you spend doing the following activities? - Preparing for work and commuting",PrepareForWorkAndCommuting_At_Remote_Work_Hours,Opinion,Employee
"On a day when you do remote work, how many hours would you spend doing the following activities? - Working",Work_At_Remote_Work_Hours,Opinion,Employee
"On a day when you do remote work, how many hours would you spend doing the following activities? - Personal and family time",PersonalAndFamilyTime_At_Remote_Work_Hours,Opinion,Employee
"On a day when you do remote work, how many hours would you spend doing the following activities? - Caring and domestic responsibilities",CaringAndResponsibilities_At_Remote_Work_Hours,Opinion,Employee
"From the following, please select the most significant barrier to doing your work remotely - Connectivity (internet connection) ; Feeling left out and/or isolated ; Poor management ; IT equipment (computer, printer, etc.) ; Difficulty collaborating remotely ; Caring responsibilities",The_Most_Significant_Remote_Work_Barrier_ChoicesGrpoup1,Opinion,Employee
"From the following, please select the least significant barrier to doing your work remotely - Connectivity (internet connection) ; Feeling left out and/or isolated ; Poor management ; IT equipment (computer, printer, etc.) ; Difficulty collaborating remotely ; Caring responsibilities",The_Least_Significant_Remote_Work_Barrier_ChoicesGrpoup1,Opinion,Employee
"From the following, please select the most significant barrier to doing your work remotely - Connectivity (internet connection) ; Feeling left out and/or isolated ; Poor management ; Cyber security ; Lack of motivation ; Lack of motivation",The_Most_Significant_Remote_Work_Barrier_ChoicesGrpoup2,Opinion,Employee
"From the following, please select the least significant barrier to doing your work remotely - Connectivity (internet connection) ; Feeling left out and/or isolated ; Poor management ; Cyber security ; Lack of motivation ; Lack of motivation",The_Least_Significant_Remote_Work_Barrier_ChoicesGrpoup2,Opinion,Employee
"From the following, please select the most significant barrier to doing your work remotely - Connectivity (internet connection) ; Feeling left out and/or isolated ; Poor management ; My organisation's software and systems ; My workspace (e.g. suitable chair, lighting, noise levels, facilities) ; I have tasks that can't be done remotely",The_Most_Significant_Remote_Work_Barrier_ChoicesGrpoup3,Opinion,Employee
